['6', 'Heat (1995)', 'Action|Crime|Thriller'] 4.72667383324
['624', 'Condition Red (1995)', 'Action|Drama|Thriller'] 4.84795042898
['627', 'Last Supper, The (1995)', 'Drama|Thriller'] 4.4512562141
['628', 'Primal Fear (1996)', 'Drama|Thriller'] 4.74485764547
['640', 'Diabolique (1996)', 'Drama|Thriller'] 3.52400676701
['648', 'Mission: Impossible (1996)', 'Action|Adventure|Mystery'] 4.28082534712
['653', 'Dragonheart (1996)', 'Action|Adventure|Fantasy'] 4.07344062506
['667', 'Bloodsport 2 (1995)', 'Action'] 2.89050362047
['674', 'Barbarella (1968)', 'Adventure|Sci-Fi'] 3.86349447043
['678', 'Some Folks Call It a Sling Blade (1993)', 'Drama|Thriller'] 5.0930484682
['688', 'Operation Dumbo Drop (1995)', 'Action|Adventure|Comedy|War'] 3.12494573414
['692', 'Solo (1996)', 'Action|Sci-Fi|Thriller'] 2.96115797615
['694', 'Substitute, The (1996)', 'Action'] 3.4933404999
['704', 'Quest, The (1996)', 'Action|Adventure'] 3.1574742385
['733', 'Rock, The (1996)', 'Action|Adventure|Thriller'] 4.57108475734
['736', 'Twister (1996)', 'Action|Adventure|Romance|Thriller'] 4.02182430285
['737', 'Barb Wire (1996)', 'Action|Sci-Fi'] 2.87795042898
['748', 'Arrival, The (1996)', 'Action|Sci-Fi|Thriller'] 3.99902956567
['750', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)', 'Sci-Fi|War'] 5.29784069965
['780', 'Independence Day (ID4) (1996)', 'Action|Sci-Fi|War'] 4.35835505326
['786', 'Eraser (1996)', 'Action|Thriller'] 3.97186347246
['788', 'Nutty Professor, The (1996)', 'Comedy|Fantasy|Romance|Sci-Fi'] 3.8437310197
['798', 'Daylight (1996)', 'Action|Adventure|Thriller'] 3.55383278192
['809', 'Fled (1996)', 'Action|Adventure'] 3.41937900041
['815', 'Power 98 (1995)', 'Action|Mystery|Thriller'] 2.84795042898
['832', 'Ransom (1996)', 'Drama|Thriller'] 4.32667383324
['836', 'Chain Reaction (1996)', 'Action|Adventure|Thriller'] 3.5019588678
['839', 'Crow: City of Angels, The (1996)', 'Action|Thriller'] 3.06276524379
['849', 'Escape from L.A. (1996)', 'Action|Adventure|Sci-Fi|Thriller'] 3.35871363837
['858', 'Godfather, The (1972)', 'Action|Crime|Drama'] 5.37291669079
['861', 'Supercop (1992)', 'Action|Thriller'] 4.3607709418
['866', 'Bound (1996)', 'Crime|Drama|Romance|Thriller'] 4.67137700241
['876', 'Police Story 4: Project S (Chao ji ji hua) (1993)', 'Action'] 3.70509328612
['880', 'Island of Dr. Moreau, The (1996)', 'Sci-Fi|Thriller'] 3.04856771293
['882', 'Trigger Effect, The (1996)', 'Drama|Thriller'] 3.55981483576
['886', 'Bulletproof (1996)', 'Action'] 3.79025812129
['908', 'North by Northwest (1959)', 'Drama|Thriller'] 5.23198084723
['919', 'Wizard of Oz, The (1939)', 'Adventure|Children|Drama|Musical'] 5.09591317636
['924', '2001: A Space Odyssey (1968)', 'Drama|Mystery|Sci-Fi|Thriller'] 4.91671499774
['940', 'Adventures of Robin Hood, The (1938)', 'Action|Adventure'] 4.82149540252
['968', 'Night of the Living Dead (1968)', 'Horror|Sci-Fi'] 4.51927910031
['969', 'African Queen, The (1951)', 'Action|Adventure|Romance|War'] 5.09960605812
['980', 'In the Line of Duty 2 (1987)', 'Action'] 3.64795042898
['990', 'Maximum Risk (1996)', 'Action|Adventure|Thriller'] 3.42202450305
['996', 'Last Man Standing (1996)', 'Action|Drama|Western'] 3.75420042898
['997', 'Caught (1996)', 'Drama|Thriller'] 4.20509328612
['998', 'Set It Off (1996)', 'Action|Crime'] 3.85870311715
['1003', 'Extreme Measures (1996)', 'Drama|Thriller'] 3.79009918931
['1004', 'Glimmer Man, The (1996)', 'Action|Thriller'] 3.51131676561
['1019', '20,000 Leagues Under the Sea (1954)', 'Adventure|Children|Fantasy|Sci-Fi'] 4.55055912463
['1037', 'Lawnmower Man, The (1992)', 'Action|Sci-Fi|Thriller'] 3.50811303061
['1047', 'Long Kiss Goodnight, The (1996)', 'Action|Thriller'] 4.33182139672
['1049', 'Ghost and the Darkness, The (1996)', 'Action|Adventure'] 4.17611007421
['1085', 'Old Man and the Sea, The (1958)', 'Adventure|Drama'] 4.62657638318
['1100', 'Days of Thunder (1990)', 'Action|Romance'] 3.65509328612
['1101', 'Top Gun (1986)', 'Action|Romance'] 4.53408904284
['1102', 'American Strays (1996)', 'Action'] 2.84795042898
['1112', 'Palookaville (1996)', 'Action|Drama'] 4.27652185755
['1127', 'Abyss, The (1989)', 'Action|Adventure|Sci-Fi|Thriller'] 4.53191544356
['1129', 'Escape from New York (1981)', 'Action|Adventure|Sci-Fi|Thriller'] 4.31288255568
['1134', 'Johnny 100 Pesos (1993)', 'Action|Drama'] 3.84795042898
['1165', 'Bloody Child, The (1996)', 'Drama|Thriller'] 1.84795042898
['1170', 'Best of the Best 3: No Turning Back (1995)', 'Action'] 2.49500925251
['1181', 'Shooter, The (1995)', 'Action'] 3.74795042898
['1197', 'Princess Bride, The (1987)', 'Action|Adventure|Comedy|Romance'] 5.15166052389
['1200', 'Aliens (1986)', 'Action|Sci-Fi|Thriller|War'] 4.9737746048
['1201', 'Good, The Bad and The Ugly, The (1966)', 'Action|Western'] 4.98071534981
['1205', 'Transformers: The Movie, The (1986)', 'Action|Animation|Children|Sci-Fi|Thriller|War'] 4.22890280993
['1215', 'Army of Darkness (1993)', 'Action|Adventure|Comedy|Horror|Sci-Fi'] 4.65218323321
['1218', 'Killer, The (Die xue shuang xiong) (1989)', 'Action|Thriller'] 5.04467174046
['1220', 'Blues Brothers, The (1980)', 'Action|Comedy|Musical'] 4.78754774442
['1221', 'Godfather: Part II, The (1974)', 'Action|Crime|Drama'] 5.2055154408
['1222', 'Full Metal Jacket (1987)', 'Action|Drama|War'] 4.95879572404
['1227', 'Once Upon a Time in America (1984)', 'Crime|Drama|Thriller'] 4.7110209684
['1233', 'Boat, The (Das Boot) (1981)', 'Action|Drama|War'] 5.15064773168
['1242', 'Glory (1989)', 'Action|Drama|War'] 5.04129575272
['1253', 'Day the Earth Stood Still, The (1951)', 'Drama|Sci-Fi'] 4.98927422147
['1259', 'Stand by Me (1986)', 'Adventure|Comedy|Drama'] 4.94486919649
['1261', 'Evil Dead II (Dead By Dawn) (1987)', 'Action|Adventure|Comedy|Horror'] 4.67459276475
['1264', 'Diva (1981)', 'Action|Drama|Mystery|Romance|Thriller'] 4.90242513715
['1274', 'Akira (1988)', 'Adventure|Animation|Sci-Fi|Thriller'] 4.78157874756
['1275', 'Highlander (1986)', 'Action|Adventure'] 4.69410427513
['1277', 'Cyrano de Bergerac (1990)', 'Action|Drama|Romance'] 4.73224794964
['1287', 'Ben-Hur (1959)', 'Action|Adventure|Drama'] 4.95874588353
['1291', 'Indiana Jones and the Last Crusade (1989)', 'Action|Adventure'] 4.98124281227
['1304', 'Butch Cassidy and the Sundance Kid (1969)', 'Action|Comedy|Western'] 5.06359524928
['1306', 'Until the End of the World (Bis ans Ende der Welt) (1991)', 'Drama|Sci-Fi'] 4.45089160545
['1320', 'Alien\xb3 (1992)', 'Action|Horror|Sci-Fi|Thriller'] 3.88578826682
['1334', 'Blob, The (1958)', 'Horror|Sci-Fi'] 3.98404510354
['1335', 'Blood Beach (1981)', 'Action|Horror'] 2.56223614327
['1356', 'Star Trek: First Contact (1996)', 'Action|Adventure|Sci-Fi'] 4.55711073432
['1358', 'Sling Blade (1996)', 'Drama|Thriller'] 5.05610675863
['1364', 'Zero Kelvin (Kj\xe6rlighetens kj\xf8tere) (1995)', 'Action'] 4.34795042898
['1369', "I Can't Sleep (J'ai pas sommeil) (1994)", 'Drama|Thriller'] 4.64795042898
['1370', 'Die Hard 2 (1990)', 'Action|Thriller'] 4.38980064924
['1371', 'Star Trek: The Motion Picture (1979)', 'Action|Adventure|Sci-Fi'] 3.98431406534
['1372', 'Star Trek VI: The Undiscovered Country (1991)', 'Action|Adventure|Sci-Fi'] 4.25754083857
['1373', 'Star Trek V: The Final Frontier (1989)', 'Action|Adventure|Sci-Fi'] 3.59672693795
['1374', 'Star Trek: The Wrath of Khan (1982)', 'Action|Adventure|Sci-Fi'] 4.72847529086
['1375', 'Star Trek III: The Search for Spock (1984)', 'Action|Adventure|Sci-Fi'] 4.20177998669
['1376', 'Star Trek IV: The Voyage Home (1986)', 'Action|Adventure|Sci-Fi'] 4.5042559352
['1377', 'Batman Returns (1992)', 'Action|Adventure|Comedy|Crime'] 3.82467205847
['1378', 'Young Guns (1988)', 'Action|Comedy|Western'] 4.26609989517
['1379', 'Young Guns II (1990)', 'Action|Comedy|Western'] 3.75580950757
['1382', 'Marked for Death (1990)', 'Action|Drama'] 3.62747798804
['1383', 'Adrenalin: Fear the Rush (1996)', 'Action|Sci-Fi'] 2.39340497443
['1385', 'Under Siege (1992)', 'Action'] 4.1169309062
['1388', 'Jaws 2 (1978)', 'Action|Horror'] 3.43713961817
['1389', 'Jaws 3-D (1983)', 'Action|Horror'] 2.70033138136
['1391', 'Mars Attacks! (1996)', 'Action|Comedy|Sci-Fi|War'] 3.74832286846
['1396', 'Sneakers (1992)', 'Crime|Drama|Sci-Fi'] 4.57572311459
['1408', 'Last of the Mohicans, The (1992)', 'Action|Romance|War'] 4.66128376231
['1429', "Jackie Chan's First Strike (1996)", 'Action'] 4.15434773538
['1431', 'Beverly Hills Ninja (1997)', 'Action|Comedy'] 3.39536422208
['1432', 'Metro (1997)', 'Action'] 3.61795042898
['1434', 'Stranger, The (1994)', 'Action'] 4.84795042898
['1438', "Dante's Peak (1997)", 'Action|Thriller'] 3.66414980593
['1473', 'Best Men (1997)', 'Action|Comedy|Crime|Drama'] 3.67295042898
['1479', 'Saint, The (1997)', 'Action|Romance|Thriller'] 4.04510851069
['1480', "Smilla's Sense of Snow (1997)", 'Action|Drama|Thriller'] 4.127195712
['1483', 'Crash (1996)', 'Drama|Thriller'] 3.60681567721
['1488', "Devil's Own, The (1997)", 'Action|Drama|Thriller|War'] 3.70558931787
['1495', 'Turbo: A Power Rangers Movie (1997)', 'Action|Adventure|Children'] 2.16613224716
['1497', 'Double Team (1997)', 'Action'] 2.93128376231
['1499', 'Anaconda (1997)', 'Action|Adventure|Thriller'] 3.04845168211
['1515', 'Volcano (1997)', 'Drama|Thriller'] 3.4059614787
['1518', 'Breakdown (1997)', 'Action|Thriller'] 4.26885438378
['1523', 'Truth or Consequences, N.M. (1997)', 'Action|Crime|Romance'] 3.47952937635
['1525', 'Warriors of Virtue (1997)', 'Action|Adventure|Children|Fantasy'] 2.93885951989
['1527', 'Fifth Element, The (1997)', 'Action|Sci-Fi'] 4.4884733048
['1544', 'Lost World: Jurassic Park, The (1997)', 'Action|Adventure|Sci-Fi|Thriller'] 3.88460381543
['1551', 'Buddy (1997)', 'Adventure|Children|Drama'] 3.68128376231
['1552', 'Con Air (1997)', 'Action|Adventure|Thriller'] 4.11419780843
['1556', 'Speed 2: Cruise Control (1997)', 'Action|Romance|Thriller'] 2.71988503388
['1562', 'Batman & Robin (1997)', 'Action|Adventure|Crime'] 3.10537617155
['1573', 'Face/Off (1997)', 'Action|Sci-Fi|Thriller'] 4.24907639661
['1580', 'Men in Black (1997)', 'Action|Adventure|Comedy|Sci-Fi'] 4.58790314766
['1584', 'Contact (1997)', 'Drama|Sci-Fi'] 4.61640194852
['1586', 'G.I. Jane (1997)', 'Action|Drama|War'] 3.90001506094
['1587', 'Conan the Barbarian (1982)', 'Action|Adventure'] 4.26927910031
['1590', 'Event Horizon (1997)', 'Action|Mystery|Sci-Fi|Thriller'] 3.36602271814
['1591', 'Spawn (1997)', 'Action|Adventure|Sci-Fi|Thriller'] 3.46900306056
['1595', 'Free Willy 3: The Rescue (1997)', 'Adventure|Children|Drama'] 2.58641196744
['1597', 'Conspiracy Theory (1997)', 'Action|Mystery|Romance|Thriller'] 4.25362243884
['1598', 'Desperate Measures (1998)', 'Crime|Drama|Thriller'] 3.55966214069
['1599', 'Steel (1997)', 'Action'] 2.48974147376
['1603', 'Mimic (1997)', 'Sci-Fi|Thriller'] 3.7732377853
['1604', 'Money Talks (1997)', 'Action|Comedy'] 3.60179658283
['1606', 'Kull the Conqueror (1997)', 'Action|Adventure'] 3.18739997026
['1608', 'Air Force One (1997)', 'Action|Thriller'] 4.43624039181
['1610', 'Hunt for Red October, The (1990)', 'Action|Thriller'] 4.90000854036
['1615', 'Edge, The (1997)', 'Adventure|Thriller'] 4.46909580343
['1616', 'Peacemaker, The (1997)', 'Action|Thriller|War'] 3.94162131506
['1620', 'Kiss the Girls (1997)', 'Crime|Drama|Thriller'] 4.18465928974
['1626', 'Fire Down Below (1997)', 'Action|Drama|Thriller'] 3.3664689475
['1627', 'U Turn (1997)', 'Action|Crime|Mystery'] 3.92395042898
['1636', 'Stag (1997)', 'Action|Thriller'] 3.24795042898
['1648', 'House of Yes, The (1997)', 'Comedy|Drama|Thriller'] 4.3221772331
['1653', 'Gattaca (1997)', 'Drama|Sci-Fi|Thriller'] 4.55918534077
['1667', 'Mad City (1997)', 'Action|Drama'] 3.62671149093
['1674', 'Witness (1985)', 'Drama|Romance|Thriller'] 4.8441263372
['1676', 'Starship Troopers (1997)', 'Action|Adventure|Sci-Fi|War'] 3.9812264393
['1681', 'Mortal Kombat: Annihilation (1997)', 'Action|Adventure'] 3.02705490659
['1683', 'Wings of the Dove, The (1997)', 'Drama|Romance|Thriller'] 4.60941831889
['1687', 'Jackal, The (1997)', 'Action|Thriller'] 3.92510176429
['1690', 'Alien: Resurrection (1997)', 'Action|Horror|Sci-Fi'] 3.80687212346
['1692', 'Alien Escape (1995)', 'Horror|Sci-Fi'] 3.39795042898
['1720', 'Time Tracers (1995)', 'Action|Adventure|Sci-Fi'] 2.13366471469
['1722', 'Tomorrow Never Dies (1997)', 'Action|Romance|Thriller'] 4.28994578861
['1739', '3 Ninjas: High Noon On Mega Mountain (1998)', 'Action|Children'] 2.20965255664
['1744', 'Firestorm (1998)', 'Action|Adventure|Thriller'] 3.5232751043
['1748', 'Dark City (1998)', 'Film-Noir|Sci-Fi|Thriller'] 4.67060489122
['1750', 'Star Kid (1997)', 'Adventure|Children|Fantasy|Sci-Fi'] 3.03842661946
['1752', 'Hard Rain (1998)', 'Action|Thriller'] 3.50329023481
['1754', 'Fallen (1998)', 'Action|Mystery|Thriller'] 4.23454836712
['1762', 'Deep Rising (1998)', 'Action|Horror|Sci-Fi'] 3.58363324836
['1769', 'Replacement Killers, The (1998)', 'Action|Thriller'] 3.98588146346
['1772', 'Blues Brothers 2000 (1998)', 'Action|Comedy|Musical'] 3.27838521159
['1773', 'Tokyo Fist (1995)', 'Action|Drama'] 3.34795042898
['1779', 'Sphere (1998)', 'Adventure|Sci-Fi|Thriller'] 3.51153638092
['1785', 'King of New York (1990)', 'Action|Crime'] 4.23683931787
['1788', 'Men With Guns (1997)', 'Action|Drama'] 4.80399438502
['1792', 'U.S. Marshalls (1998)', 'Action|Thriller'] 4.01982542898
['1796', "In God's Hands (1998)", 'Action|Drama'] 3.24795042898
['1801', 'Man in the Iron Mask, The (1998)', 'Action|Drama|Romance'] 3.89142868985
['1805', 'Wild Things (1998)', 'Crime|Drama|Mystery|Thriller'] 4.29363732994
['1825', "Player's Club, The (1998)", 'Action|Drama'] 3.51461709565
['1831', 'Lost in Space (1998)', 'Action|Sci-Fi|Thriller'] 3.43265807516
['1832', "Heaven's Burning (1997)", 'Action|Drama'] 4.84795042898
['1833', 'Mercury Rising (1998)', 'Action|Drama|Thriller'] 3.85173830777
['1834', 'Spanish Prisoner, The (1997)', 'Drama|Thriller'] 4.787098502
['1841', 'Gingerbread Man, The (1998)', 'Drama|Thriller'] 3.79531885003
['1852', 'Love Walked In (1998)', 'Drama|Thriller'] 2.84795042898
['1858', 'Mr. Nice Guy (1997)', 'Action|Comedy'] 4.11539228945
['1862', 'Species II (1998)', 'Horror|Sci-Fi'] 2.89845547949
['1866', 'Big Hit, The (1998)', 'Action|Comedy'] 3.93789751893
['1867', 'Tarzan and the Lost City (1998)', 'Action|Adventure'] 3.26900306056
['1869', 'Black Dog (1998)', 'Action|Thriller'] 3.16167591918
['1876', 'Deep Impact (1998)', 'Action|Drama|Sci-Fi|Thriller'] 4.01443087591
['1882', 'Godzilla (1998)', 'Action|Sci-Fi'] 3.17259972758
['1899', 'Passion in the Desert (1998)', 'Adventure|Drama'] 4.04795042898
['1908', 'Resurrection Man (1998)', 'Drama|Thriller'] 3.84795042898
['1909', 'X-Files: Fight the Future, The (1998)', 'Mystery|Sci-Fi|Thriller'] 4.34092231653
['1910', 'I Went Down (1997)', 'Action|Comedy|Crime'] 4.60404798996
['1912', 'Out of Sight (1998)', 'Action|Crime|Romance'] 4.64530725717
['1916', 'Buffalo 66 (1998)', 'Action|Comedy|Drama'] 4.35360014649
['1917', 'Armageddon (1998)', 'Action|Adventure|Sci-Fi|Thriller'] 4.03984232087
['1918', 'Lethal Weapon 4 (1998)', 'Action|Comedy|Crime|Drama'] 3.98845865021
['1921', 'Pi (1998)', 'Sci-Fi|Thriller'] 4.63914129358
['1924', 'Plan 9 from Outer Space (1958)', 'Horror|Sci-Fi'] 3.48248858159
['1953', 'French Connection, The (1971)', 'Action|Crime|Drama|Thriller'] 4.94667284478
['1954', 'Rocky (1976)', 'Action|Drama'] 4.7903263155
['2000', 'Lethal Weapon (1987)', 'Action|Comedy|Crime|Drama'] 4.73485884939
['2001', 'Lethal Weapon 2 (1989)', 'Action|Comedy|Crime|Drama'] 4.39295537458
